unit;sector;cofog99;geo;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 
PC_GDP;S13;GF0303;NL;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;NO;0.2 ;0.2 ;0.2 ;0.1 ;0.2 ;0.2 ;0.1 
PC_GDP;S13;GF0303;PL;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.6 ;0.5 
PC_GDP;S13;GF0303;PT;0.4 ;0.3 ;0.3 ;0.3 ;0.3 ;0.4 ;0.3 p
PC_GDP;S13;GF0303;RO;0.4 ;0.4 ;0.5 ;0.4 ;0.4 ;0.4 ;0.4 
PC_GDP;S13;GF0303;SE;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;SI;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 
PC_GDP;S13;GF0303;SK;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0304;AT;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.2 ;0.1 
PC_GDP;S13;GF0304;BE;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;BG;0.2 ;0.1 ;0.1 ;0.1 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;CH;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;CY;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;CZ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;DE;0.1 ;0.1 ;0.1 ;0.1 ;0.1 p;0.1 p;0.1 p
PC_GDP;S13;GF0304;DK;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;EA19;0.2 ;0.2 ;0.1 ;0.1 ;0.1 ;0.2 ;0.2 
PC_GDP;S13;GF0304;EA20;0.2 ;0.2 ;0.1 ;0.1 ;0.1 ;0.2 ;0.2 
PC_GDP;S13;GF0304;EE;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.1 
PC_GDP;S13;GF0304;EL;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;ES;0.2 ;0.2 ;0.2 ;0.1 ;0.1 ;0.2 ;0.2 p
PC_GDP;S13;GF0304;EU27_2020;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;FI;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;FR;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 p;0.2 p
PC_GDP;S13;GF0304;HR;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;HU;0.2 ;0.3 ;0.3 ;0.2 ;0.2 ;0.3 ;0.2 
PC_GDP;S13;GF0304;IE;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.0 
PC_GDP;S13;GF0304;IS;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;IT;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;LT;0.2 ;0.2 ;0.2 ;0.1 ;0.1 ;0.2 ;0.2 
PC_GDP;S13;GF0304;LU;0.1 ;0.1 ;0.1 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;LV;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;MT;0.1 ;0.1 ;0.1 ;0.1 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;NL;0.4 ;0.4 ;0.3 ;0.3 ;0.3 ;0.4 ;0.4 
