DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,NL,2022,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2016,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2017,26,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2018,29,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2019,30,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2020,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2021,33,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PL,2022,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2016,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2017,30,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2018,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2019,33,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2020,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2021,33,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,PT,2022,37,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2016,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2017,19,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2018,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2019,27,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2020,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2021,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,RO,2022,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2016,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2017,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2018,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2019,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2020,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2021,13,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SE,2022,13,
