DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2004,118.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2005,122.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2006,124.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2007,124.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2008,127.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2009,130.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2010,132.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2011,134.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2012,136.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2013,140.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2014,145.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2015,146.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2016,147.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2017,151.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2018,156.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2019,162.3,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2020,160.7,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DE,2021,172.2,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2000,59.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2001,59.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2002,60.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2003,64.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2004,68.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2005,68.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2006,74.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2007,77.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2008,81.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2009,93.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2010,85.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2011,99.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2012,89.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2013,79.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2014,79.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2015,79.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2016,80.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2017,77.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2018,79.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2019,85.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2020,88.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,DK,2021,93.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2001,72.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2002,77.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2003,81.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2004,79.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2005,83.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2006,84.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2007,86.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2008,90.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2009,94.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2010,94.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2011,97.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2012,94.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2013,96.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2014,97.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2015,98.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2016,99.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2017,102.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2018,106.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2019,109.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2020,109.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA19,2021,116.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2001,72.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2002,77.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2003,80.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2004,79.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2005,82.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2006,83.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2007,86.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2008,90.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2009,93.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2010,94.0,
