DATAFLOW,LAST UPDATE,freq,indic_cr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2012,202.82,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2013,199.01,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2014,190.44,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2015,197.20,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2016,196.65,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2018,198.47,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2019,188.70,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,CZ,2020,186.45,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2014,93.84,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2015,91.03,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2016,89.60,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2017,89.19,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2018,89.85,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2019,87.89,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DE,2020,87.00,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2014,73.80,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2015,66.45,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2016,61.71,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2017,62.48,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2018,65.64,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2019,67.98,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,DK,2020,70.33,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,EE,2011,275.41,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,EE,2013,259.06,
